dockernet-relayer-gaia-1  | ts=2023-09-05T11:22:27.160938Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=131916 fees=1555ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=384 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=CED4EBCA6192538C594AAB2AAB9D4B8DEFC0705A6939E7A29C5724E60DC348A7
dockernet-relayer-gaia-1  | ts=2023-09-05T11:23:03.277918Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=106501 fees=1225ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=407 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=8F95A0BB5B23861EC2BB58A3A7B6BA80AE56A903792C9AF48465E1D5E23503FA
dockernet-relayer-gaia-1  | ts=2023-09-05T11:23:03.469999Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169727 fees=1907uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=630 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=35314B4C885C9E7852A528651CDF0A756A8172B2C06FC297935CB776A05DEEEE
dockernet-relayer-gaia-1  | ts=2023-09-05T11:23:06.579303Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=134827 fees=1556ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=409 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=07C110D1BE1C911DBA86F25BFE42A0CDCC93606B044F607C5D69C344F82F7EF1
dockernet-relayer-gaia-1  | ts=2023-09-05T11:23:43.713764Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=106507 fees=1225ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=433 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=0CB3A931E6FD1CE370C822ED5694A43513535661D66A7BD20E1D102B9671656A
dockernet-relayer-gaia-1  | ts=2023-09-05T11:23:44.901483Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169387 fees=1903uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=671 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=CC7AE669B1095BD84AFD561B4BEF2493305C913AEC200CF539911A1712956454
dockernet-relayer-gaia-1  | ts=2023-09-05T11:23:48.413486Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=135270 fees=1562ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=436 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=6EF5F20C1DCDCB9F72BCBEBDF17F546FCECD10F7BCC2C2C16E63571C755404FB
dockernet-relayer-gaia-1  | ts=2023-09-05T11:24:22.620461Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE gas_used=109315 fees=1224ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=458 msg_types=/ibc.core.client.v1.MsgUpdateClient,/stride.interchainquery.v1.MsgSubmitQueryResponse tx_hash=FE96F93210CEF2E38557B03D6E93BF690EA653A6B6241EEF0F89FF61E5C2F467
dockernet-relayer-gaia-1  | ts=2023-09-05T11:24:24.331157Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=GAIA packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=169867 fees=1909uatom fee_payer=cosmos16lmf7t0jhaatan6vnxlgv47h2wf0k5lnhvye5h height=710 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgRecvPacket tx_hash=507B8723CEFFF6CADF3599F39B2142572D5FFDE0DD297889C62D7B26976B70CB
dockernet-relayer-gaia-1  | ts=2023-09-05T11:24:27.413006Z lvl=info msg="Successful transaction" provider_type=cosmos chain_id=STRIDE packet_src_channel=channel-2 packet_dst_channel=channel-1 gas_used=135291 fees=1562ustrd fee_payer=stride16lmf7t0jhaatan6vnxlgv47h2wf0k5ln58y9qm height=461 msg_types=/ibc.core.client.v1.MsgUpdateClient,/ibc.core.channel.v1.MsgAcknowledgement tx_hash=34E767248510C682BAD3F2BB7EDB7D18B5ED7096719B1A060F30089E7379BBC9
